run_id,wrapper_id,wrapper_name,status,row_count,duration_seconds,started_at,completed_at,max_items,urls_count,error_message,result_file
1467,137,Hacker News Show HN,completed,116,45.58,2026-06-22T08:42:51.658167+00:00,2026-03-15T03:46:25.426670+00:00,200,1,,run_results/137/run_749.json
1466,126,Olympic Games Host Cities,completed,386,5.66,2026-06-22T08:42:51.654369+00:00,2026-05-07T12:21:17.504278+00:00,1000,2,,run_results/126/run_748.json
1465,143,Attention Is All You Need — Abstract,pending,0,,2026-06-22T08:42:51.649830+00:00,,50,1,,
1464,147,PyPI — Data Science Packages,completed,70,21.34,2026-06-22T08:42:51.647298+00:00,2026-06-15T21:44:33.192340+00:00,200,2,,run_results/147/run_746.json
1463,142,arXiv Quantum Computing Papers,completed,133,27.09,2026-06-22T08:42:51.642424+00:00,2026-03-01T13:14:22.934798+00:00,100,1,,run_results/142/run_745.json
1462,142,arXiv Quantum Computing Papers,completed,110,34.94,2026-06-22T08:42:51.637276+00:00,2026-05-16T23:26:58.788897+00:00,1000,1,,run_results/142/run_744.json
1461,132,Deep Learning — Wikipedia,completed,226,10.25,2026-06-22T08:42:51.635917+00:00,2026-06-18T21:59:42.101005+00:00,1000,2,,run_results/132/run_743.json
1460,146,PyPI — Web Scraping Packages,completed,50,38.51,2026-06-22T08:42:51.634076+00:00,2026-06-21T09:44:48.358833+00:00,0,1,,run_results/146/run_742.json
1459,140,arXiv Computer Vision Papers,completed,182,21.68,2026-06-22T08:42:51.632496+00:00,2026-06-05T12:14:22.532135+00:00,200,2,,run_results/140/run_741.json
1458,147,PyPI — Data Science Packages,completed,24,26.69,2026-06-22T08:42:51.627716+00:00,2026-04-21T23:27:33.542032+00:00,1000,1,,run_results/147/run_740.json
1457,161,GitHub Trending All Languages,completed,172,5.26,2026-06-22T08:42:51.626777+00:00,2026-02-22T22:37:35.107894+00:00,200,2,,run_results/161/run_739.json
1456,126,Olympic Games Host Cities,completed,456,6.41,2026-06-22T08:42:51.625122+00:00,2026-03-07T10:18:41.262657+00:00,200,2,,run_results/126/run_738.json
1455,129,Python Language — Wikipedia,completed,34,10.64,2026-06-22T08:42:51.623634+00:00,2026-05-09T03:48:34.485859+00:00,200,2,,run_results/129/run_737.json
1454,133,COVID-19 — Wikipedia Infobox,completed,71,14.71,2026-06-22T08:42:51.622590+00:00,2026-06-15T08:14:27.556032+00:00,0,1,,run_results/133/run_736.json
1453,125,Top Grossing Films All Time,failed,48,19.84,2026-06-22T08:42:51.620279+00:00,2026-05-25T02:41:16.692297+00:00,100,1,Page structure changed — XPath selector no longer matches,
1452,121,US States by Population,completed,62,9.11,2026-06-22T08:42:51.611619+00:00,2026-05-12T02:38:31.956335+00:00,50,1,,run_results/121/run_734.json
1451,162,PubMed — Cancer Immunotherapy,completed,122,60.05,2026-06-22T08:42:51.608534+00:00,2026-04-29T20:33:25.897750+00:00,0,2,,run_results/162/run_733.json
1450,160,GitHub Trending Python Repos,completed,44,13.28,2026-06-22T08:42:51.604789+00:00,2026-02-22T20:27:33.127105+00:00,200,2,,run_results/160/run_732.json
1449,174,arXiv CS.AI Papers (Container),failed,3,86.68,2026-06-22T08:42:51.601977+00:00,2026-02-25T15:19:27.528015+00:00,0,1,Container detail page navigation failed,
1448,137,Hacker News Show HN,completed,348,27.76,2026-06-22T08:42:51.600573+00:00,2026-05-20T02:37:21.612379+00:00,0,2,,run_results/137/run_730.json
1447,135,Hacker News Front Page,completed,109,8.49,2026-06-22T08:42:51.596513+00:00,2026-03-18T02:36:39.335926+00:00,200,1,,run_results/135/run_729.json
1446,132,Deep Learning — Wikipedia,completed,128,10.99,2026-06-22T08:42:51.595316+00:00,2026-06-15T07:01:51.839656+00:00,200,2,,run_results/132/run_728.json
1445,179,Artificial Intelligence — Wikipedia,completed,134,5.88,2026-06-22T08:42:51.594131+00:00,2026-05-31T12:36:52.730277+00:00,1000,2,,run_results/179/run_727.json
1444,166,NCBI Gene — Human Cancer Genes,completed,74,20.24,2026-06-22T08:42:51.593042+00:00,2026-04-21T07:15:15.091255+00:00,50,2,,run_results/166/run_726.json
1443,167,NCBI Gene — Diabetes Genes,completed,36,52.18,2026-06-22T08:42:51.592059+00:00,2026-03-07T09:24:04.023492+00:00,200,1,,run_results/167/run_725.json
1442,156,IMDb Most Popular TV Shows,failed,11,8.56,2026-06-22T08:42:51.591247+00:00,2026-04-01T15:41:50.409728+00:00,100,1,Timeout loading page (30000ms),
1441,183,Insulin — Wikipedia,completed,10,16.19,2026-06-22T08:42:51.590405+00:00,2026-05-17T23:21:58.039973+00:00,0,2,,run_results/183/run_723.json
